device_id,heartbeat_ts,mv_in,ma_in
6,2025-04-27 14:09:38.374000 UTC,30000,5199
6,2025-04-27 14:10:08.479000 UTC,0,0
6,2025-04-27 14:10:38.484000 UTC,30000,5400
6,2025-04-27 14:11:08.487000 UTC,28000,4300
6,2025-04-27 14:11:38.591000 UTC,30000,4300
6,2025-04-27 14:12:08.607000 UTC,30000,5000
6,2025-04-27 14:12:38.599000 UTC,30000,4699
6,2025-04-27 14:13:08.600000 UTC,30000,3200
6,2025-04-27 14:13:38.712000 UTC,30000,3599
6,2025-04-27 14:14:08.709000 UTC,28000,2799
6,2025-04-27 14:14:38.713000 UTC,34000,100
6,2025-04-27 14:15:08.818000 UTC,28000,2500
6,2025-04-27 14:15:38.821000 UTC,28000,2599
6,2025-04-27 14:16:08.825000 UTC,30000,2900
6,2025-04-27 14:16:38.828000 UTC,28000,4699
6,2025-04-27 14:17:08.934000 UTC,30000,4000
6,2025-04-27 14:17:38.938000 UTC,30000,4199
6,2025-04-27 14:18:08.946000 UTC,30000,4599
6,2025-04-27 14:18:39.048000 UTC,28000,5199
6,2025-04-27 14:19:09.049000 UTC,30000,4800
6,2025-04-27 14:19:39.053000 UTC,30000,4300
6,2025-04-27 14:20:09.056000 UTC,28000,3000
6,2025-04-27 14:20:39.164000 UTC,32000,3299
6,2025-04-27 14:21:09.165000 UTC,28000,2599
6,2025-04-27 14:21:39.168000 UTC,28000,2299
6,2025-04-27 14:22:09.274000 UTC,28000,2299
6,2025-04-27 14:22:39.280000 UTC,30000,2400
6,2025-04-27 14:23:09.280000 UTC,28000,2599
6,2025-04-27 14:23:39.286000 UTC,28000,2599
6,2025-04-27 14:24:09.389000 UTC,0,0
6,2025-04-27 14:24:39.396000 UTC,28000,2799
6,2025-04-27 14:25:09.396000 UTC,28000,2799
6,2025-04-27 14:25:39.504000 UTC,30000,4699
6,2025-04-27 14:26:09.505000 UTC,30000,3000
6,2025-04-27 14:26:39.510000 UTC,28000,3000
6,2025-04-27 14:27:09.614000 UTC,30000,3000
6,2025-04-27 14:27:39.618000 UTC,30000,4500
6,2025-04-27 14:28:09.619000 UTC,28000,5500
6,2025-04-27 14:28:39.626000 UTC,30000,6800
